Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-04-06,2.48,2.55,2.4,2.47,2.47,34866700,2.7914999999999996,0.6798610152082555,2.1116389847917443,3.471361015208255,0.33993050760412774,3.1314305076041276,2.4515694923958717
2020-04-07,2.81,2.81,2.65,2.7,2.7,46149600,2.7504999999999997,0.6530382837169655,2.0974617162830342,3.403538283716965,0.32651914185848274,3.0770191418584822,2.423980858141517
2020-04-08,2.76,2.8,2.71,2.74,2.74,18312900,2.7105,0.5551747472643185,2.1553252527356817,3.2656747472643186,0.27758737363215924,2.988087373632159,2.432912626367841
2020-04-09,2.82,2.82,2.63,2.67,2.67,32810000,2.6815000000000007,0.48034466792085856,2.201155332079142,3.1618446679208594,0.24017233396042928,2.92167233396043,2.4413276660395713
2020-04-13,2.67,2.97,2.63,2.97,2.97,38421700,2.6585,0.4340633594303946,2.2244366405696057,3.0925633594303945,0.2170316797151973,2.8755316797151975,2.4414683202848027
2020-04-14,3.15,3.16,2.92,3.01,3.01,36479000,2.6515,0.40847398937998486,2.243026010620015,3.059973989379985,0.20423699468999243,2.8557369946899924,2.4472630053100075
2020-04-15,2.95,3.2,2.88,3.2,3.2,27529800,2.6550000000000002,0.4193566501201572,2.235643349879843,3.0743566501201576,0.2096783250600786,2.864678325060079,2.4453216749399216
2020-04-16,3.3,3.41,3.2,3.25,3.25,37801700,2.6700000000000004,0.4715506335485088,2.1984493664514915,3.1415506335485093,0.2357753167742544,2.9057753167742546,2.434224683225746
2020-04-17,3.36,3.36,3.15,3.21,3.21,22831800,2.7110000000000003,0.5209568120295578,2.1900431879704425,3.231956812029558,0.2604784060147789,2.9714784060147794,2.450521593985221
2020-04-20,3.18,3.35,3.05,3.19,3.19,18691700,2.7525000000000004,0.5407356100720572,2.2117643899279433,3.2932356100720575,0.2703678050360286,3.022867805036029,2.4821321949639716
2020-04-21,3.1,3.22,3.01,3.02,3.02,19789700,2.792,0.5473426714591143,2.2446573285408853,3.3393426714591143,0.27367133572955715,3.065671335729557,2.5183286642704426
2020-04-22,3.09,3.15,3.05,3.09,3.09,14494000,2.8245,0.5197489778729728,2.3047510221270273,3.3442489778729727,0.2598744889364864,3.0843744889364864,2.5646255110635137
2020-04-23,3.2,3.2,3.05,3.06,3.06,17434200,2.849,0.5213022156101008,2.3276977843898994,3.370302215610101,0.2606511078050504,3.1096511078050506,2.58834889219495
2020-04-24,3.08,3.1,2.91,2.94,2.94,22069700,2.864,0.5274239281640528,2.336576071835947,3.391423928164053,0.2637119640820264,3.1277119640820263,2.6002880359179734
2020-04-27,3.0,3.26,2.95,3.24,3.24,35641100,2.8645000000000005,0.527692145099773,2.3368078549002274,3.3921921450997736,0.2638460725498865,3.128346072549887,2.600653927450114
2020-04-28,3.4,3.45,3.2,3.34,3.34,36326800,2.8845,0.5522128212926607,2.3322871787073396,3.4367128212926605,0.27610641064633035,3.1606064106463303,2.60839358935367
2020-04-29,3.83,3.98,3.59,3.61,3.61,89238800,2.9160000000000004,0.5799793099757955,2.336020690024205,3.495979309975796,0.28998965498789775,3.2059896549878983,2.6260103450121024
2020-04-30,3.63,3.72,3.37,3.41,3.41,44540400,2.9574999999999996,0.6497037786560887,2.307796221343911,3.607203778656088,0.3248518893280444,3.282351889328044,2.6326481106719553
2020-05-01,3.3,3.33,3.12,3.18,3.18,31268900,2.9955,0.6621019558950116,2.333398044104988,3.6576019558950117,0.3310509779475058,3.3265509779475058,2.664449022052494
2020-05-04,3.08,3.36,3.08,3.34,3.34,23387500,3.0349999999999997,0.604665196617103,2.4303348033828964,3.639665196617103,0.3023325983085515,3.337332598308551,2.7326674016914483
2020-05-05,3.44,3.48,3.28,3.28,3.28,22315800,3.082,0.5429033063078543,2.5390966936921453,3.6249033063078544,0.27145165315392716,3.353451653153927,2.8105483468460726
2020-05-06,3.59,3.65,3.45,3.62,3.62,54347800,3.1224999999999996,0.47022866777771,2.6522713322222895,3.5927286677777097,0.235114333888855,3.3576143338888547,2.8873856661111446
2020-05-07,3.63,3.67,3.52,3.63,3.63,26736700,3.1685,0.475868679364381,2.692631320635619,3.644368679364381,0.2379343396821905,3.4064343396821903,2.9305656603178094
2020-05-08,3.68,3.8,3.6,3.77,3.77,27638000,3.2129999999999996,0.4737129932775752,2.7392870067224244,3.686712993277575,0.2368564966387876,3.4498564966387875,2.976143503361212
2020-05-11,3.72,3.77,3.66,3.74,3.74,16585600,3.2679999999999993,0.46409481789823936,2.8039051821017598,3.732094817898239,0.23204740894911968,3.500047408949119,3.03595259105088
2020-05-12,3.74,3.78,3.61,3.62,3.62,21943800,3.3064999999999998,0.4860565810685008,2.820443418931499,3.7925565810685007,0.2430282905342504,3.54952829053425,3.0634717094657495
2020-05-13,3.64,3.68,3.32,3.44,3.44,34034700,3.3370000000000006,0.4843593707155876,2.852640629284413,3.821359370715588,0.2421796853577938,3.5791796853577944,3.094820314642207
2020-05-14,3.33,3.52,3.27,3.45,3.45,20936400,3.349,0.48207468301083806,2.866925316989162,3.831074683010838,0.24103734150541903,3.590037341505419,3.107962658494581
